,row_Retail_data
USA,0.010596670361218058
Mexico,0.0029533968941290725
Spain,0.0022508714723407514
Australia,0.0009560429200153463
Sweden,0.00036981862524463954
Luxembourg,0.0003328100667791433
Turkey,0.000241365645016621
Chile,0.00013044846872505722
Japan,5.5836334057024744e-05
South Korea,4.791263548256143e-05
Portugal,4.069412650838946e-05
Canada,2.48566881632798e-05
Poland,2.2039692588703385e-05
Greece,1.739648562386276e-05
South Africa,2.5048132302072843e-06
Gibraltar,-7.62971160802364e-06
Jordan,-1.1039177299542891e-05
Isle of Man,-2.1570703443223967e-05
Kuwait,-3.7924915561332835e-05
Iceland,-4.026881482678954e-05
Peru,-4.8073836627041624e-05
Cayman Islands,-4.922223659094055e-05
Finland,-5.503032582262262e-05
Romania,-6.805547278553926e-05
New Zealand,-9.11302633158355e-05
Kazakhstan,-0.00011241957852891908
Hungary,-0.00011801960332542044
Netherlands,-0.00015662406961602753
Indonesia,-0.0001679059333531126
China,-0.00019045365933639162
Brazil,-0.00021183140136373185
Colombia,-0.000227248345084384
Argentina,-0.00028289550772035395
Belgium,-0.0003216956849690801
Malaysia,-0.0003519188829232938
Philippines,-0.00038082131742286105
Israel,-0.0004066040326334616
Russia,-0.0005105292342997617
Austria,-0.0005842446152427216
Czech Republic,-0.0007468085678582201
Bermuda,-0.0010023092648411718
Taiwan,-0.0010027904495646183
Ireland,-0.001185444203857115
Singapore,-0.0022853844757250654
UK,-0.0029651129302595315
India,-0.003928353701310886
Norway,-0.0041856515275199065
Hong Kong,-0.004493164850706426
Italy,-0.0045020904654426595
France,-0.0050832023832295
Germany,-0.006263499311319278
Denmark,-0.008814313244644024
Saudi Arabia,-0.01571338088195676
Switzerland,-0.019849511503618
